env,lat,lon,start,end,alt,yield,cou
Ibadan_IIT_19_1,7.504332,3.902362,2019-07-27,2019-11-29,239,2590.5,NGA
Maridi_FST_22_1,4.4543,29.3051,2022-08-08,2022-12-11,758,1618.511628,SSD
Nakuru_SFS_20_2,-0.052140001,36.10974884,2020-10-23,2021-02-25,1677,1092.407407,KEN
Chilanga_PYX_18_2,-12.942194,33.466389,2018-12-21,2019-04-26,1020,1682.244444,MWI
Chitedze_DAR_20_2,-13.979333,33.645134,2020-12-10,2021-04-15,1143,2675.101667,MWI
Ibadan_IIT_21_1,7.49566,3.89757,2021-07-29,2021-12-02,211,1028.404848,NGA
Kerou_UAC_19_1,10.90028,1.92167,2019-07-07,2019-11-10,381,1849.755556,BEN
Muranga_SFS_21_1,-0.81138,37.14445,2021-04-06,2021-08-10,1355,1830.388889,KEN
Muranga_SFS_21_2,-0.81138,37.14445,2021-11-17,2022-03-23,1355,1351.388889,KEN
Pawe_PEI_20_1,11.3,36.4,2020-07-07,2020-11-11,1100,2224.730444,ETH
Phata_AGC_22_2,-16.09027468,34.77827109,2023-01-27,2023-06-03,83,1780.251852,MWI
Sikasso_SFS_20_1,11.46661111,5.64333333,2020-07-18,2020-11-22,374,1256.220222,MLI
Angonia_IIT_21_2,-14.74727,34.36814,2022-01-05,2022-05-13,1210,2912.970714,MOZ
Bungoma_SFS_21_2,0.60047,34.62259,2021-11-15,2022-03-23,1526,3182.5,KEN
Chisumbanje_CBI_19_2,-20.47,32.14,2020-01-22,2020-05-29,421,1069.950111,ZWE
Djidja_UAC_21_1,7.373,1.9355,2021-08-10,2021-12-16,153,1442.476852,BEN
Sikasso_SFS_19_1,11.46661111,5.64333333,2019-07-06,2019-11-11,349,2928.888889,MLI
Tepi_JEI_20_1,11.816667,39.633333,2020-07-28,2020-12-03,1850,1718.471889,ETH
Foumbot_IRA_20_2,5.484253,10.518168,2020-09-04,2021-01-11,1050,1370.575758,CMR
Karongi_OAF_22_2,-2.05722,29.35306,2021-09-24,2022-01-31,1660,2600.40125,RWA
Kasungu_PYX_21_2,-12.93748,33.464872,2022-01-06,2022-05-15,1027,3014.84325,MWI
Kigumba_AGI_19_2,1.8424,32.021228,2019-09-06,2020-01-13,1070,1384.694595,UGA
Chipata_GNA_19_2,-13.658183,32.556583,2019-12-27,2020-05-05,1033,2337.534444,MWI
Chongwe_SYA1_20_2,-15.391634,28.584011,2020-12-10,2021-04-19,1098,2351.286333,ZMB
Glazoue_UAC_19_1,8.12572,2.1225,2019-07-09,2019-11-16,198,2565.255556,BEN
Kabwe_ZAR_19_2,-14.44101,28.44275,2019-12-27,2020-05-05,1182,1359.289083,ZMB
Kasama_ZAR_19_2,-10.16667,31.23333,2019-12-30,2020-05-08,1316,512.7207563,ZMB
Kayonza_OAF_22_2,-1.88735,30.51627,2021-10-04,2022-02-11,1570,1406.962083,RWA
Mitalula_TAR_20_1,-9.39806,33.62722,2020-03-27,2020-08-04,1050,650.315,TZA
Karongi_OAF_21_1,-2.05722,29.35306,2021-03-03,2021-07-12,1660,1246.971667,RWA
Kirinyaga_SFS_20_1,-0.675032,37.356176,2020-05-08,2020-09-16,1159,1135.244444,KEN
Nyankpala_SAR_19_1,9.386164,-1.000327,2019-07-22,2019-11-30,199,2151.968167,GHA
Shamva_CBI_22_2,-17.166,31.37,2023-01-12,2023-05-23,962,1691.385506,ZWE
Chipata_GNA_20_2,-13.679633,32.734184,2020-12-17,2021-04-28,1161,2784.8475,MWI
Fumesua_SAR_19_1,6.71666667,-1.6,2019-08-08,2019-12-18,295,1520.436167,GHA
Gurue_IIT_19_2,-15.350797,36.79057,2020-01-17,2020-05-28,777,1755.670108,MOZ
Kibwezi_SFS_19_1,-2.375363,38.010101,2019-08-03,2019-12-13,1178,2350.333333,KEN
Mbabzi_MBZ_19_2,-13.919117,33.677067,2019-12-17,2020-04-27,1116,2835.911111,MWI
Mpale_PYX_18_2,-13.4186,33.61448,2018-12-17,2019-04-28,1101,2320.466667,MWI
Nyankpala_SAR_20_1,9.395127,-0.9918,2020-07-14,2020-11-23,167,2084.887667,GHA
Bwanje_DAR_20_1,-14.2696,34.5768,2020-06-17,2020-10-28,505,3016.510204,MWI
Bwanje_SFS_18_1,-14.263817,34.5703,2018-07-13,2018-11-23,473,1211.18375,MWI
Nyagatare_RAB_18_2,-1.4067,30.2865,2018-10-24,2019-03-06,0,1682.080645,RWA
Angonia_IIT_20_2,-14.7483,34.36678,2020-12-11,2021-04-24,1205,3676.743254,MOZ
Chitedze_DAR_18_2,-13.9733,33.516667,2018-12-19,2019-05-02,1142,2827.922222,MWI
Kabwe_ZAR_20_2,-14.23431,28.29393,2020-12-22,2021-05-05,1100,2475,ZMB
Kasungu_LLM_22_2,-12.57064,33.40162,2022-12-27,2023-05-10,1080,5094.481333,MWI
Mpale_PYX_20_2,-13.406667,33.620834,2020-12-08,2021-04-21,1111,3070.246667,MWI
Chibombo_IIT_22_2,-15.29914756,28.30255589,2022-12-26,2023-05-10,1189,2293.517059,ZMB
Ejura_SAR_20_1,7.388733,-1.368433,2020-07-16,2020-11-28,187,1492.551,GHA
Bvumbwe_DAR_20_2,-15.9263,35.06727,2020-12-14,2021-04-29,1158,2417.0125,MWI
Mpongwe_SCL_19_2,-13.509167,28.155,2019-12-24,2020-05-08,1196,2312.82775,ZMB
Mpongwe_SCL_21_2,-13.54364959,28.06393733,2022-01-03,2022-05-19,1210,1617.453782,ZMB
Chilanga_PYX_19_2,-12.942783,33.467484,2019-12-10,2020-04-25,1028,3145.74,MWI
